,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,lat,upwelling,stratification
148,0.008384639,5.7573357e-10,0.003365159,5.647364e-06,13.53824,34.92392,2.853352e-07,0.23408481,1.351867e-10,116.148636,48.59037774223244,0,-7.07567e-08
149,0.009887006,6.231584e-10,0.008463573,0.0059767184,14.392408,34.847794,3.0683722e-07,0.22980745,1.3935693e-10,119.87922,48.59037774223244,0,-2.4345115e-07
150,0.007893126,5.4408766e-10,0.009794812,0.009521964,14.812685,34.80593,3.026329e-07,0.2263043,1.3529668e-10,118.71926,48.59037774223244,0,1.15371336e-07
151,0.023112155,9.0756247e-10,0.0162201,0.018209517,14.182188,34.786316,3.2570748e-07,0.23957458,1.3719881e-10,92.03722,48.59037774223244,0,-1.2627106e-07
152,0.03512383,0.0037479964,0.017169356,0.015290173,13.053453,34.762444,4.1362608e-07,0.2528367,1.5257653e-10,88.49763,48.59037774223244,0,-7.5111734e-07
153,0.035624366,0.0044235457,0.015033977,0.011581202,12.568226,34.744267,4.3903307e-07,0.25634181,1.5365052e-10,88.00282,48.59037774223244,0,-2.2545095e-07
154,0.029972164,3.5603595e-08,0.012363508,0.009626483,12.604951,34.73419,4.0496664e-07,0.25266582,1.428448e-10,87.53545,48.59037774223244,0,-2.878176e-07
155,0.017425964,5.888849e-10,0.007242259,0.0062288553,12.954249,34.73568,3.406982e-07,0.24272272,1.2754897e-10,89.62203,48.59037774223244,0,-2.2427996e-07
156,0.012162142,4.841473e-10,0.0039062419,0.0018734118,12.95568,34.737995,3.2664784e-07,0.23944733,1.240309e-10,93.364456,48.59037774223244,0,-1.3592216e-07
157,0.010574548,5.5233496e-10,0.000350486,5.387105e-10,12.703515,34.73713,3.648096e-07,0.2402476,1.3333885e-10,110.01347,48.59037774223244,0,-1.6325231e-07
158,0.012114194,6.345058e-10,5.731191e-05,4.7558135e-10,12.531419,34.74257,3.9042726e-07,0.24230704,1.3947014e-10,116.5463,48.59037774223244,0,-1.3343193e-07
159,0.013462522,6.911737e-10,7.972242e-06,4.4441534e-10,12.359332,34.74414,4.0636422e-07,0.24414489,1.427155e-10,119.17901,48.59037774223244,0,-4.576259e-08
160,0.011382821,6.3654e-10,4.701308e-09,4.0213846e-10,12.209204,34.749306,4.1341966e-07,0.24385281,1.4436136e-10,124.01648,48.59037774223244,1,-1.8272283e-07
161,2.9710114e-07,4.1782397e-10,4.468067e-10,3.1991326e-10,12.1938925,34.763737,3.7949508e-07,0.23626536,1.370801e-10,145.92415,48.59037774223244,0,-4.735279e-07
162,4.9714555e-10,1.8144304e-10,3.3874414e-10,3.084232e-10,13.21203,34.760006,2.0621313e-07,0.21712582,1.1063986e-10,133.56783,48.59037774223244,0,-9.814435e-07
164,0.0408181,0.012355675,0.0055729714,4.458841e-10,10.463092,34.707195,4.7297527e-07,0.27156955,1.6353495e-10,87.990906,48.59037774223244,1,-5.9271866e-07
165,0.04049412,0.011692206,0.0004972389,3.446214e-10,9.724887,34.663673,4.714139e-07,0.2756024,1.5786017e-10,83.54619,48.59037774223244,1,-3.0855256e-07
166,0.03569995,0.004417381,1.968666e-09,3.0663255e-10,9.449693,34.635536,4.471274e-07,0.27412215,1.4986073e-10,83.35454,48.59037774223244,1,-1.3373182e-08
167,0.03231014,0.00043825968,4.5650086e-10,2.921419e-10,9.361502,34.628277,4.3250273e-07,0.27263823,1.468313e-10,85.294426,48.59037774223244,1,-5.4834203e-08
168,0.028869908,2.3071954e-07,4.4053866e-10,2.9122305e-10,9.49383,34.64302,4.1400372e-07,0.26985207,1.4462818e-10,87.73222,48.59037774223244,1,-2.1503416e-07
169,0.028626151,8.584568e-08,4.261695e-10,2.7909688e-10,9.373676,34.650013,4.4593028e-07,0.270162,1.5330892e-10,96.11276,48.59037774223244,1,-3.256776e-07
170,0.020971548,8.568923e-10,3.8577044e-10,2.6259692e-10,9.508031,34.67604,4.4713457e-07,0.26542687,1.5562032e-10,111.65712,48.59037774223244,0,-2.0893157e-07
171,0.022167636,9.529668e-10,4.1475742e-10,2.7132838e-10,9.714953,34.699417,4.4717802e-07,0.26483944,1.5748017e-10,114.236885,48.59037774223244,0,-2.7401825e-08
172,0.028374474,1.4341817e-09,5.0713694e-10,2.9285893e-10,9.957862,34.735096,4.754171e-07,0.26648313,1.677302e-10,116.869934,48.59037774223244,0,-6.909062e-08
173,0.03459627,0.0012367523,6.5696892e-09,3.195624e-10,10.198225,34.775745,5.0870045e-07,0.26827458,1.8004882e-10,118.847115,48.59037774223244,1,-2.8513827e-07
174,0.040314812,0.009922902,4.6562527e-06,3.2742847e-10,10.013879,34.758472,5.479897e-07,0.27273828,1.8891048e-10,114.50003,48.59037774223244,0,-1.7170458e-07
175,0.043646466,0.015054882,1.07722135e-05,3.2192754e-10,9.763762,34.731174,5.858773e-07,0.2758981,1.9572473e-10,112.90872,48.59037774223244,0,-4.5189205e-07
176,0.04272781,0.0135478955,3.0580504e-05,3.2723824e-10,9.954141,34.764072,5.899357e-07,0.2732669,1.988177e-10,118.3082,48.59037774223244,1,-8.1011365e-08
177,0.045017008,0.017137961,0.00020924657,3.297792e-10,9.848834,34.762543,6.1205435e-07,0.2749658,2.0349109e-10,116.6523,48.59037774223244,1,-2.3099344e-07
178,0.04813722,0.02186001,0.0010015757,3.3242314e-10,9.742186,34.75684,6.472497e-07,0.2768191,2.113215e-10,116.10242,48.59037774223244,1,-3.8646203e-07
179,0.046299472,0.019269366,0.0017514512,3.4540565e-10,9.949682,34.767967,6.2515284e-07,0.27481785,2.0608214e-10,115.83503,48.59037774223244,1,-3.0758835e-07
180,0.02126714,8.687768e-10,0.008983034,0.0068768845,12.894521,34.956917,2.8331243e-07,0.24393281,1.3313849e-10,112.38347,43.9829630039656,0,-9.7775924e-08
