Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
51606-1,49.745,-14.132,4092,Yes,No,0.21600000000000003
51606-1,49.745,-14.132,4092,Yes,Yes,0.034
51607-1,49.488,-14.697,4495,No,No,0.9200000000000002
51607-1,49.488,-14.697,4495,No,Yes,0.259
51607-1,49.488,-14.697,4495,Yes,No,0.22399999999999998
51607-1,49.488,-14.697,4495,Yes,Yes,0.034
51612-1,50.353,-13.385,2692,No,No,0.9119999999999999
51612-1,50.353,-13.385,2692,No,Yes,0.221
51612-1,50.353,-13.385,2692,Yes,No,0.264
51612-1,50.353,-13.385,2692,Yes,Yes,0.022000000000000002
51615-1,51.6,-12.982,1345,No,No,0.8959999999999999
51615-1,51.6,-12.982,1345,No,Yes,0.23399999999999999
51615-1,51.6,-12.982,1345,Yes,No,0.253
51615-1,51.6,-12.982,1345,Yes,Yes,0.009
51621-1,51.267,-11.313,220,No,No,0.931
51621-1,51.267,-11.313,220,No,Yes,0.217
51621-1,51.267,-11.313,220,Yes,No,0.228
51621-1,51.267,-11.313,220,Yes,Yes,0.035
51901-2,51.049,-13.005,2000,No,No,0.9579999999999999
51901-2,51.049,-13.005,2000,No,Yes,0.235
51901-2,51.049,-13.005,2000,Yes,No,0.21600000000000003
51901-2,51.049,-13.005,2000,Yes,Yes,0.020000000000000004
52003-1,51.733,-13.015,1659,No,No,0.9819999999999999
52003-1,51.733,-13.015,1659,No,Yes,0.196
52003-1,51.733,-13.015,1659,Yes,No,0.264
52003-1,51.733,-13.015,1659,Yes,Yes,0.009
52004-1,51.067,-12.923,1988,No,No,1.0539999999999998
52004-1,51.067,-12.923,1988,No,Yes,0.204
52004-1,51.067,-12.923,1988,Yes,No,0.215
52004-1,51.067,-12.923,1988,Yes,Yes,0.008
52005-1,50.327,-13.377,2724,No,No,1.0939999999999999
52005-1,50.327,-13.377,2724,No,Yes,0.195
52005-1,50.327,-13.377,2724,Yes,No,0.206
52005-1,50.327,-13.377,2724,Yes,Yes,0.021
52006-1,50.34,-12.706,2654,No,No,1.024
52006-1,50.34,-12.706,2654,No,Yes,0.248
52006-1,50.34,-12.706,2654,Yes,No,0.19899999999999998
52006-1,50.34,-12.706,2654,Yes,Yes,0.021
52007-1,50.378,-12.695,2447,No,No,1.039
52007-1,50.378,-12.695,2447,No,Yes,0.217
52007-1,50.378,-12.695,2447,Yes,No,0.217
52007-1,50.378,-12.695,2447,Yes,Yes,0.005
52014-1,51.762,-13.131,1006,No,No,1.083
52014-1,51.762,-13.131,1006,No,Yes,0.212
52014-1,51.762,-13.131,1006,Yes,No,0.188
52014-1,51.762,-13.131,1006,Yes,Yes,0.006999999999999999
52016-2,51.629,-12.923,1389,No,No,0.9159999999999999
52016-2,51.629,-12.923,1389,No,Yes,0.244
52016-2,51.629,-12.923,1389,Yes,No,0.21600000000000003
52016-2,51.629,-12.923,1389,Yes,Yes,0.022000000000000002
52020-1,51.616,-13.866,493,No,No,0.7190000000000001
52020-1,51.616,-13.866,493,No,Yes,0.25
52020-1,51.616,-13.866,493,Yes,No,0.309
52020-1,51.616,-13.866,493,Yes,Yes,0.02
52021-1,51.45,-13.601,743,No,No,0.9570000000000001
52021-1,51.45,-13.601,743,No,Yes,0.22699999999999998
52021-1,51.45,-13.601,743,Yes,No,0.231
52021-1,51.45,-13.601,743,Yes,Yes,0.012
52023-1,50.796,-12.945,2220,No,No,0.9619999999999999
52023-1,50.796,-12.945,2220,No,Yes,0.252
52023-1,50.796,-12.945,2220,Yes,No,0.195
52023-1,50.796,-12.945,2220,Yes,Yes,0.015000000000000003
52025-1,50.367,-12.719,2468,No,No,1.0250000000000001
52025-1,50.367,-12.719,2468,No,Yes,0.203
52025-1,50.367,-12.719,2468,Yes,No,0.19699999999999998
52025-1,50.367,-12.719,2468,Yes,Yes,0.018000000000000002
5594A,41.05,-12.967,5324,No,No,0.551
5594A,41.05,-12.967,5324,No,Yes,0.22699999999999998
5594A,41.05,-12.967,5324,Yes,No,0.32
5594A,41.05,-12.967,5324,Yes,Yes,0.26600000000000007
5596A,40.883,-13.133,5333,No,No,0.7389999999999999
5596A,40.883,-13.133,5333,No,Yes,0.18100000000000002
5596A,40.883,-13.133,5333,Yes,No,0.32899999999999996
5596A,40.883,-13.133,5333,Yes,Yes,0.17400000000000002
5598A,40.783,-13.233,5331,No,No,0.704
5598A,40.783,-13.233,5331,No,Yes,0.168
5598A,40.783,-13.233,5331,Yes,No,0.373
5598A,40.783,-13.233,5331,Yes,Yes,0.15600000000000003
9-3bx,46.422,-12.54,3892,No,No,0.8109999999999999
9-3bx,46.422,-12.54,3892,No,Yes,0.259
9-3bx,46.422,-12.54,3892,Yes,No,0.235
9-3bx,46.422,-12.54,3892,Yes,Yes,0.09099999999999998
A152-084,44.35,-30.267,2750,No,No,0.52
A152-084,44.35,-30.267,2750,No,Yes,0.126
A152-084,44.35,-30.267,2750,Yes,No,0.245
A152-084,44.35,-30.267,2750,Yes,Yes,0.31599999999999995
A153-154,28,-38.783,4020,No,No,0.20700000000000002
A153-154,28,-38.783,4020,No,Yes,0.013000000000000001
A153-154,28,-38.783,4020,Yes,No,0.212
A153-154,28,-38.783,4020,Yes,Yes,1.1149999999999998
A164-13,35.717,-67.333,5103,No,No,0.298
A164-13,35.717,-67.333,5103,No,Yes,0.239
A164-13,35.717,-67.333,5103,Yes,No,0.266
A164-13,35.717,-67.333,5103,Yes,Yes,0.5510000000000002
A164-16,36.133,-69.133,4624,No,No,0.28400000000000003
A164-16,36.133,-69.133,4624,No,Yes,0.129
A164-16,36.133,-69.133,4624,Yes,No,0.261
A164-16,36.133,-69.133,4624,Yes,Yes,0.7380000000000001
A164-17,35.783,-68.933,4824,No,No,0.401
A164-17,35.783,-68.933,4824,No,Yes,0.171
A164-17,35.783,-68.933,4824,Yes,No,0.29700000000000004
A164-17,35.783,-68.933,4824,Yes,Yes,0.5060000000000001
A164-23,36.217,-69.4,4512,No,No,0.34
A164-23,36.217,-69.4,4512,No,Yes,0.158
A164-23,36.217,-69.4,4512,Yes,No,0.285
A164-23,36.217,-69.4,4512,Yes,Yes,0.62
A167-1,37.65,-72.95,2706,No,No,0.7689999999999999
A167-1,37.65,-72.95,2706,No,Yes,0.031
A167-1,37.65,-72.95,2706,Yes,No,0.534
A167-1,37.65,-72.95,2706,Yes,Yes,0.08999999999999998
A167-12,31.833,-74.35,4700,No,No,0.392
A167-12,31.833,-74.35,4700,No,Yes,0.068
A167-12,31.833,-74.35,4700,Yes,No,0.24900000000000003
A167-12,31.833,-74.35,4700,Yes,Yes,0.85
A167-13,31.65,-75.35,2880,No,No,0.267
A167-13,31.65,-75.35,2880,No,Yes,0.026000000000000002
A167-13,31.65,-75.35,2880,Yes,No,0.19399999999999998
A167-13,31.65,-75.35,2880,Yes,Yes,1.047
A176-018,29.767,-76.8,1015,No,No,0.11
A176-018,29.767,-76.8,1015,No,Yes,0.003
A176-018,29.767,-76.8,1015,Yes,No,0.37200000000000005
A176-018,29.767,-76.8,1015,Yes,Yes,0.9560000000000001
A179-006,19.4,-78.55,4731,No,No,0.12000000000000002
A179-006,19.4,-78.55,4731,No,Yes,0
A179-006,19.4,-78.55,4731,Yes,No,0.157
A179-006,19.4,-78.55,4731,Yes,Yes,1.4750000000000005
A179-007,19.917,-73.833,2926,No,No,0.11299999999999999
A179-007,19.917,-73.833,2926,No,Yes,0
A179-007,19.917,-73.833,2926,Yes,No,0.28400000000000003
A179-007,19.917,-73.833,2926,Yes,Yes,1.1059999999999999
A179-013,23.933,-75.75,1847,No,No,0.133
A179-013,23.933,-75.75,1847,No,Yes,0
A179-013,23.933,-75.75,1847,Yes,No,0.10799999999999998
A179-013,23.933,-75.75,1847,Yes,Yes,1.4200000000000004
A179-024,35.767,-69.083,4663,No,No,0.243
A179-024,35.767,-69.083,4663,No,Yes,0.057999999999999996
A179-024,35.767,-69.083,4663,Yes,No,0.405
A179-024,35.767,-69.083,4663,Yes,Yes,0.6780000000000002
A179-15,24.8,-75.917,3109,No,No,0.048
A179-15,24.8,-75.917,3109,No,Yes,0.003
A179-15,24.8,-75.917,3109,Yes,No,0.134
A179-15,24.8,-75.917,3109,Yes,Yes,1.402
A180-015,39.267,-36.7,4610,No,No,0.327
A180-015,39.267,-36.7,4610,No,Yes,0.17800000000000002
A180-015,39.267,-36.7,4610,Yes,No,0.22599999999999998
A180-015,39.267,-36.7,4610,Yes,Yes,0.528
A180-020,33.333,-27.367,4040,No,No,0.282
A180-020,33.333,-27.367,4040,No,Yes,0.11
A180-020,33.333,-27.367,4040,Yes,No,0.18599999999999997
A180-020,33.333,-27.367,4040,Yes,Yes,0.7629999999999998
A180-039,25.833,-19.3,942,No,No,0.3390000000000001
A180-039,25.833,-19.3,942,No,Yes,0.017
A180-039,25.833,-19.3,942,Yes,No,0.21899999999999997
A180-039,25.833,-19.3,942,Yes,Yes,0.9370000000000002
A181-7,10.55,-57.5,3766,No,No,0.052000000000000005
A181-7,10.55,-57.5,3766,No,Yes,0
A181-7,10.55,-57.5,3766,Yes,No,0.14400000000000002
A181-7,10.55,-57.5,3766,Yes,Yes,1.5860000000000003
A181-9,20.733,-59.2,5215,No,No,0.19499999999999995
A181-9,20.733,-59.2,5215,No,Yes,0
A181-9,20.733,-59.2,5215,Yes,No,0.064
A181-9,20.733,-59.2,5215,Yes,Yes,1.5190000000000001
D10704-6,39.367,-12.852,5453,No,No,0.736
D10704-6,39.367,-12.852,5453,No,Yes,0.054000000000000006
D10704-6,39.367,-12.852,5453,Yes,No,0.524
D10704-6,39.367,-12.852,5453,Yes,Yes,0.063
D11798#3,27.563,-27.652,5210,No,No,0.256
