Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
RC12-304,-33.22,29.183,-3290,0,2.78,4.72,4.44,1.67,0,0,15.83,0.56,0,31.11,6.67,2.22,0,0,16.11,0.56,0,7.5,0,0,0.83,0,1.67,0.56
RC13-189,1.863,-30,-3233,0,0,0.6,4.2,0,0.6,0,10.1,0,4.5,33.1,14.6,11,0,0,0,1.7,0.3,0.8,0,0,0.8,0,3.1,9.8
RC13-190,1.783,-25.43,-3797,0,0,1.1,4.3,1.1,0.8,0,10.5,0.3,6.2,32.3,11.9,10.2,0.3,0,0,1.9,0.8,3.8,1,0,0.8,0,2.4,5.4
RC13-195,4.583,-10.05,-2536,0,0.9,0,2.2,3.8,0,0,9.2,0,12,21.2,17.4,8.5,0,0,4.1,0.3,0.9,6,0,0,0.9,0,1.3,6.9
RC13-196,3.705,-7.722,-3734,0,0.3,0,2.8,0.9,0.6,0,6.8,0,10.1,21.5,23.3,6.4,0,0.6,5.2,2.1,1.2,6.8,0,0,1.2,0,1.8,8
RC13-210,-9.142,-10.61,-3658,0,0.3,0,5.7,0.5,0,0,7.5,0.8,7.7,31.6,13.9,7.7,0.8,0,1.5,2.1,0,3.3,0.5,0,0.8,0,2.8,8.5
RC13-275,-50.7167,13.4333,-1984,0,0.92,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.31,0,0,0,1.84,92.94,0,2.15,0,0
RC15-115,-49.6,-47.57,-2642,0,23.35,0,0,0,0,0,1.1,0,0,0,0,0,0,3.3,20.88,0,0,0.27,1.65,46.98,0,0.55,0,0
RC15-143,-33.57,-49.03,-2945,0,3.99,11.76,2.52,2.52,0.21,0,13.03,0.84,1.26,31.09,1.89,0.84,3.99,2.31,11.55,0,1.05,0,0.21,0,0.21,0,0,1.89
RC15-145,-29.22,-45.47,-3380,0,2.72,3.54,3,2.72,0.54,0,16.35,0.27,5.72,36.24,3.27,1.09,3.54,0.27,7.36,0.54,1.63,0.27,0,0,1.63,0,0,3
RC15-151,-24.7,-40.58,-2711,0,0.6,0.6,2.79,4.99,1,0,17.17,2.4,8.98,40.32,2.2,1.4,2,0,0.4,2.4,3.19,0,0.2,0,1.2,0,0.2,4.99
RC15-91,-49.92,-15.57,-3775,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0.44,31.66,0,0,0,0.59,57.1,0,0.74,0,0
RC15-93,-46.1,-13.23,-2714,0,19.89,1.09,0,0,0,0,3.54,0,0,0,0,0,0.27,1.36,11.99,0,0,0,2.45,39.78,0,16.62,0,0
TAG72-1,16.6,-20.45,-3527,0,9.4,0.4,4.7,0.2,0,0,4.1,0,4.7,15.2,6.6,1.1,0.5,0,18.5,0.4,0,14.1,0,0.1,1,0.1,0.4,7.6
V12-53,-40.9,-20.38,-3797,0,28.23,5.11,0,0,0,0,4.5,0,0,0,0,0,0,9.61,29.43,0,0,0,6.31,0.6,0.6,6.01,0,0
V12-56,-36.5,8.1,-3222,0,13.1,18.81,2.02,0.71,0.12,0,2.02,0,0,2.98,0.12,0.12,1.19,8.57,30.6,0,0,0.48,6.9,0.48,0.6,0.83,0,0.12
V12-66,-22.98,7.017,-2760,0,2.86,9.71,0.57,3.14,0,0,4.29,0,0,8.29,2,0.57,4.29,2.57,19.71,0.57,1.71,0.29,9.43,1.43,3.14,0,0,4
V12-79,-1.517,-11.78,-3823,0,0.2,5.5,2.3,0,0,0,13.1,0,5.5,29,9,10.4,0.2,0,1.2,1.4,1.6,3,1.1,0.2,0.2,0,5.8,5.1
V14-47,-50.77,-42.15,-1690,0,12.56,0,0,0,0,0,2.51,0,0,0.5,0,0,0,2.51,11.81,0.25,0,0,0.5,66.08,0,1.01,0,0
V14-5,0.85,-32.85,-3255,0,0,1.1,3.6,0.5,0,0,11.5,0,3.3,45.2,15.9,4.9,0,0,0.3,1.6,1.4,1.1,0,0,0,0,1.1,4.9
V14-7,-2.3,-36.13,-3830,0,0,0.2,4.8,0.2,0.5,0,7.9,0.5,1,43,12,6.2,0,0,0,0.2,0.2,2.2,0,0,0.5,0,5.5,12.9
V15-136,-52.18,-49.08,-2514,0,19.23,0.18,0,0,0,0,1.83,0,0,0,0,0,0,0.55,9.16,0,0,0,0.92,65.02,0,0.73,0,0
V15-137,-50.38,-47.4,-2681,0,11.97,0,0,0,0,0,1.05,0,0,0,0,0,0,0.42,6.72,0,0,0,1.68,72.9,0,1.89,0,0
V15-164,-9.75,-34.4,-3588,0,0,0,4.9,1,0.3,0,7.1,1,4.5,53.1,6.1,3.6,0.3,0.3,0,2.3,2.6,0,0.3,0,1,0,0,4.8
V16-189,-28.83,-41.03,-3781,0,0.31,1.53,1.23,0,0,0,3.99,5.83,0,38.04,5.52,1.23,9.82,0.61,12.58,0,0,1.53,0.31,0,0,0,0.31,7.67
V16-190,-27.95,-42.45,-2919,0,3.46,3.72,2.68,0.43,0,0,4.58,2.08,3.2,37.11,3.11,1.9,2.68,3.81,11.16,0.87,1.38,0.87,2.42,0.09,1.3,0,0.95,1.99
V16-21,17.267,-48.42,-3975,0,0,0.8,4,0.5,0,0,11.3,1.1,10,46.9,10.2,4,0.8,0,0,1.9,2.4,0.8,0,0,0.3,0,0.3,0.8
V16-35,-17.67,-15.1,-3891,0,0.9,12.8,3.9,3,0.5,0,14.6,0.2,1.4,34.9,6.6,1.8,2.3,0.2,1.8,1.4,5.2,0,0.3,0,0.7,0,0.5,1.8
V16-36,-19.37,-11.43,-3329,0,2.8,11.8,1.7,1,0.5,0,11,0.5,1.5,26.2,6.2,3.2,4.3,1,11,5,5.5,0.3,0.7,0,0.8,0,0,0
V16-37,-21.33,-8.95,-3908,0,0.94,10.85,3.07,1.42,0.24,0,6.84,0.47,1.42,28.77,4.95,3.3,4.95,2.83,12.74,2.83,2.83,0.71,0.71,0,2.36,0,0.47,1.18
