Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD972148,Piston,19.8,117.54,2830,South China Sea,12.515,,21.95,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.61,0,9.43,1.23,5.53,0,2.46,7.17,8.61,0.2,0.2,0.61,0,0,0,46.52,0.41,0,2.25,4.71,0.4,0,0,0,0.2,0,9.43
MD972148,Piston,19.8,117.54,2830,South China Sea,12.595,,22.09,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.23,0,11.73,1.44,2.26,0,1.23,7.41,4.53,0.21,0.21,0.62,0,0,0,46.5,0.21,0,1.44,8.44,0,0,0.21,0,0.21,0,12.14
MD972148,Piston,19.8,117.54,2830,South China Sea,12.675,,22.27,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.72,0,14.63,1.06,5.85,0,1.6,3.19,7.98,0,0.27,0.8,0,0,0,38.03,1.06,0.27,2.39,9.57,0,0,0,0.27,4.52,0,4.79
MD972148,Piston,19.8,117.54,2830,South China Sea,12.755,,22.46,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.68,0.77,7.28,0.77,3.07,0,1.53,5.75,6.9,0.38,0,0,0,0,0,50.96,0.77,0,1.92,6.9,0,0,0,0,3.07,0,7.28
MD972148,Piston,19.8,117.54,2830,South China Sea,12.835,,22.65,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.74,0.22,11.28,1.08,3.9,0.43,1.52,7.81,7.16,0.43,0.22,0.65,0,0,0,36.66,0.22,0,2.39,11.5,0,0.22,0,0,3.69,0,8.89
MD972148,Piston,19.8,117.54,2830,South China Sea,12.915,,22.84,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.55,0.52,11.86,2.06,5.15,0,1.03,5.15,6.19,0,0,0.52,0,0,0,48.97,0.52,0,2.58,1.55,0,0,0,0,1.55,0,10.82
MD972151,Piston,8.73,109.87,1589,South China Sea,5.475,,19.14,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.27,0.95,17.72,0,12.03,0,1.58,4.43,3.8,0.95,0.63,3.48,0,0,0,22.78,1.58,0,16.46,0.32,0,4.11,0,0.32,0.95,0,6.65
MD972151,Piston,8.73,109.87,1589,South China Sea,5.555,,19.3,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.35,0,14.83,0.48,15.31,0,1.44,2.87,3.83,0.48,0,0.48,0,0.48,0,15.79,1.91,0,20.57,2.87,0.48,3.35,0,0.48,3.35,0,7.66
MD972151,Piston,8.73,109.87,1589,South China Sea,5.635,,19.46,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.59,0,25.22,0,4.45,0,1.48,5.64,6.53,0.3,0.59,2.67,0,0,0,18.4,0.89,0,21.96,0.59,0,1.19,0,0.3,1.78,0,7.42
MD972151,Piston,8.73,109.87,1589,South China Sea,5.715,,19.62,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.49,0.5,22.77,0.5,10.89,0,2.97,5.45,5.94,0,0,1.49,0,0,0,14.36,1.49,0,11.88,0.5,0,4.46,0,0,2.48,0,12.87
