Core,Latitude,Longitude,Coring device,Water depth (m),Sample depth - upper (m),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Globigerinita uvula,Other ID
FR1/94-GC03,-44.2606,149.9963889,,2667,0.3,2,1.45631068,"Hiramatsu et al. (1997), Barrows et al. (2000)",TTB,37622,0,,,0,,,,1,,169,2,0,0,,32,35,81,0,,,,38,14,,,5,0,,,,,,15,,,0,
FR10/95-GC05,-14.00916667,121.0263333,,2472,0.67,2,3.252427184,Martinez et al. (1999),TTB,37622,0.647,1.6,,4.21,,0,0,2.59,0,2.9,1.29,0.3,3.56,0,0,0,3.2,12,0,0,3.56,0,3.24,0.647,0.6,0,0,0,9.38,0.3,,0,19.7,0,0,,
FR10/95-GC11,-17.64283333,114.9988333,,2458,0.29,2,1.40776699,Martinez et al. (1999),TTB,37622,1,0.66,,2.99,,0,0,2.66,0.66,5.32,1.66,0,4.98,0,0,0,3.65,4.32,0.33,0.33,1.66,2.99,1.99,0,0.33,0,0.33,0,8.31,0,,0.33,21.93,0,0,,
FR10/95-GC14,-20.04516667,112.6621667,,997,0.39,2,1.893203883,Martinez et al. (1999),TTB,37622,0,0.33,,2.32,,0,0,5.96,0.33,24.17,3.31,0.33,1.32,0,0,0,0.99,4.3,0,0.66,0.66,13.25,0.99,0.33,0.33,0,0,0,2.32,0.33,,0,18.54,0,0,,
FR10/95-GC17,-22.129,113.5018333,,1093,1.43,2,6.941747573,Martinez et al. (1999),TTB,37622,0,0,,2.6,,0,0,4.2,0,14.3,3.6,0,2.9,0.3,0,0,1,2.6,0,0,1,23.7,0.3,0,0.3,0,0,0,1.9,0,,0,26.9,0,0,,
FR10/95-GC20,-24.7445,111.8291667,,841,0.64,2,3.106796117,Martinez et al. (1999),TTB,37622,0,0.3,,2.8,,0,0,1.3,0,11.9,5.3,0,2.5,0,0,0,0,2.5,0,0,0,29.1,0.3,0,0.3,0,0,0,0.6,0,,0,23.8,0,0,,
FR10/95-GC29,-30.99183333,114.5895,,1220,0.91,2,4.417475728,Martinez et al. (1999),TTB,37622,0,0.6,,0.8,,0,0,3.1,0.8,12.6,3.6,0,0.8,0.3,0.3,0,0.6,0,0,0,0,43.1,2.5,0,3.4,0.6,0,0,0.8,0.3,,0,13.7,0,0,,
FR2/96-GC10,-24.46416667,108.5101667,,2852,0.26,2,1.262135922,Martinez et al. (1999),TTB,37622,0.5,0.5,,2.2,,0,0,3.2,0,9.2,5.1,0.3,2.2,0.3,0,0,0,1.9,0,0,0.3,29.9,1.1,0,2.2,0,0.5,0,0.3,0,,0,18.3,0,0,,
FR2/96-GC17,-12.24666667,112.7378333,,2571,0.43,2,2.087378641,Martinez et al. (1999),TTB,37622,0,1.31,,0.3,,0.3,0,4.9,0,8.49,0.3,0,0.3,0,0,0,8.8,16,0,0,5.55,0,1.96,0,0.98,0,0.3,0,15.7,1.6,,0,7.8,0,0,,
FR2/96-GC27,-18.56183333,116.2668333,,1024,1.29,2,6.262135922,Martinez et al. (1999),TTB,37622,0,1.66,,6.29,,0.33,0,5.96,0,4.3,1.3,0.33,1.7,0,0,0,1.98,2.98,0.33,0.99,4.96,0.33,0.33,0,0.99,0,0,0,5.3,0,,0,11.92,0,0,,
