Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC13-196,3.705,-7.722,-3734,0,,4,0,33,70,103,4,76,21,97,1,0,9,3,1,0,2,7,0,0,0,0,22,0,0,6,17,2,0,1,0,0,0,0,26,0,0,26,0,22,0,0,0,0,0,10
RC13-229,-25.49,11.307,-4191,0,,6,0,0,5,5,0,0,1,1,0,0,1,0,4,0,3,0,0,0,6,59,2,0,0,0,71,0,1,1,113,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5
RC13-253,-46.6,7.625,-2494,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,25,118,1,0,0,0,0,26,7,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7
RC13-275,-50.7167,13.4333,-1984,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,303,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
RC15-91,-49.92,-15.57,-3775,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,5,386,2,0,0,0,0,214,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
RC15-93,-46.1,-13.23,-2714,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,0,0,60,146,9,0,0,0,0,44,5,1,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3
RC17-101,-12.38,61.617,-2665,0,,2,11,0,75,75,1,33,14,47,0,0,19,25,9,2,5,5,2,0,0,0,17,0,8,20,0,0,0,0,4,0,5,0,6,0,0,6,0,54,0,0,1,0,0,3
RC17-102,-12.85,59.872,-3470,0,,6,6,0,92,92,2,41,26,87,0,0,14,17,10,1,0,1,0,0,0,1,19,5,4,21,0,1,0,0,4,0,5,0,6,1,0,7,0,69,0,0,0,0,0,0
RC17-103,-13.61,59.638,-3912,0,,3,8,0,107,107,4,28,14,42,2,0,10,12,12,0,4,0,1,0,0,3,14,4,6,19,0,0,0,0,6,0,2,0,9,0,0,9,0,63,0,0,0,0,0,1
RC17-104,-15.59,58.852,-3834,0,,3,3,0,103,103,3,30,10,40,0,0,14,20,13,4,2,7,0,0,0,0,14,1,0,13,0,0,0,0,6,0,2,0,1,0,0,1,0,87,0,0,0,0,0,1
RC17-105,-16.23,58.633,-2500,0,,2,16,0,133,133,6,40,12,52,1,0,17,23,11,8,0,7,0,1,0,1,17,0,2,10,0,0,0,0,5,0,3,0,3,0,0,3,0,56,0,0,0,0,0,0
