Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
MPC-11-1,4.65,-140.05,,0,26.994,0,2.78,0,0,0,2.78,2.78,2.78,0,0,2.78,0,0,0,0,41.67,2.78,0,38.89,0,0,0,0,0,0,2.78
MPC-43K,12.183,164.9,-4313,0,27.951,0,18.18,0,0,0,39.39,3.03,3.03,0,0,9.09,0,0,0,0,15.15,0,0,12.12,0,0,0,0,0,0,0
MPC-45,9.95,166.9,,0,28.412,0,7.89,0,0,0,18.42,0,7.89,0,0,0,0,0,0,0,36.84,5.26,0,23.68,0,0,0,0,0,0,0
MSN-10G,7.6,-168.1,-4994,0,27.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,80,0,0,0,0,0,0,0
MSN-10G,7.6,-168.1,-4994,0,27.862,0,1.79,0,0,0,1.79,1.79,1.79,0,0,1.79,0,0,0,0,12.5,5.36,0,69.64,0,0,0,1.79,0,0,1.79
MSN-14G,1.333,-176.033,-5290,0,27.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0
MSN-45G,-18.68,87.85,-1735,0,25.561,2.64,2.22,49.1,3.7,12.99,0,5.6,0.95,1.69,1.9,0.42,0.95,0,0,0,2.75,0,0,1.48,0.21,0.95,1.69,0.95,0,0,9.82
MSN-52G,-14.9,70.2,-3980,0,25.762,1.46,6.59,24.74,0,16.69,1.46,0,4.39,0.73,0,0.73,0,0,2.2,0,13.18,1.46,0.73,12.45,0,1.46,2.2,0,0.73,0,8.78
MSN-55G,-17.8,62.667,-3738,0,25.677,0.32,2.45,47.39,0.32,12.7,0,4.8,2.03,1.39,0.32,1.07,0,0,0,0,4.16,1.07,0.32,2.45,0.64,0.32,1.39,0,1.07,0,15.8
MSN-56PG,-23.933,73.883,-3700,0,23.315,1.66,3.32,53.78,1.14,10.36,0,5.6,2.8,1.14,0,0.83,0.83,0,0.31,0.31,0.52,0,0,0,3.63,1.14,3.94,1.14,0.31,0.52,6.74
MSN-63G,-42,71,-3768,0,13.3,3.02,0,7.35,0.2,0.6,0,0.6,1.41,10.67,6.75,0.2,0,1.01,2.42,11.88,8.56,0,0,0,28.6,0.2,6.34,0,1.61,1.21,7.35
MSN-90G,-63.067,178.483,-3583,0,1.689,0,0,0,0,0,0,0,0,4,0,0,0,0,95,0,0,0,0,0,1,0,0,0,0,0,0
MSN-93G,-60.2,-171.533,-4060,0,2.883,0,0,0,0,0,0,0,0,10,0,0,0,0,80,0,0,0,0,0,9,0,1,0,0,0,0
MSN-100G,-51.1,179.817,-4835,0,8.346,0,0,0,0,0,0,0,0,36.63,0,0.99,0,0.99,3.96,0,0,0,0,0,52.48,0,4.95,0,0,0,0
MSN-103P,-46.2,173.15,-1674,0,10.339,0.99,0,0,0,0,0,0,0,43.56,0,0,0,17.82,19.8,0,0,0,0,0,6.93,0,6.93,0,0,0.99,2.97
MSN-104P,-46.35,175.233,-1865,0,10.382,0.99,0,0,0,0,0,0,0,43.56,0.99,0,0.99,11.88,19.8,0,0,0,0,0,10.89,0,6.93,0,0,0.99,2.97
MSN-109P,-46.5,-176.767,-4637,0,11.382,0,0,0,0,0,0,0,0,28.71,0,0,0.99,0,12.87,0,0,0,0,0,43.56,0,13.86,0,0,0,0
MSN-135P,-4.433,-149.4,-4600,0,27.618,1.79,1.79,0,0,0,5.36,3.57,3.57,0,0,1.79,0,0,0,0,8.93,7.14,1.79,62.5,0,0,0,1.79,0,0,0
MSN-136G,-1.9,-148.75,-4731,0,26.712,0,1.75,0,0,0,1.75,1.75,0,0,0,0,0,0,0,0,21.05,5.26,0,64.91,0,0,0,1.75,0,1.75,0
MSN-137P,-1.533,-148.65,-4827,0,26.712,0,1.52,0,0,0,1.52,1.52,1.52,0,0,1.52,0,0,0,0,22.73,1.52,0,65.15,0,0,0,1.52,0,0,1.52
MSN-138P,-0.25,-147.567,-4410,0,26.58,0,1.33,0,0,0,1.33,4,1.33,0,0,0,0,0,0,0,13.33,5.33,1.33,58.67,0,0,1.33,1.33,0,1.33,9.33
MSN-141G,3.533,-146.783,-4577,0,27.055,0,0,0,0,0,0,4.62,4.62,0,0,0,0,0,0,0,16.92,4.62,0,69.23,0,0,0,0,0,0,0
MT1-gyre,42,-132,,0,14.355,37.9,0,13.59,0,0,0,0,6.08,13.59,6.08,0,0,2.99,0,7.62,1.54,0,0,0,0,0,0,0,0,2.99,7.62
MT1-mid,42,-128,,0,13.433,9.28,0,4.69,0,0,0,0,0,16.27,4.69,0,0,6.99,6.99,23.25,11.58,0,0,0,0,0,0,0,0,9.28,6.99
MT1-nrsh,42,-126,,0,12.425,1.6,0,1.6,0,0,0,0,1.6,11.3,22.6,0,0,1.6,30.7,16.1,9.7,0,0,0,0,0,0,0,0,1.6,1.6
MUK-19BP,50.85,-147.833,-4560,0.02,8.24,0,0,0,0,0,0,0,0,43.43,0,0,0,0,55.56,1.01,0,0,0,0,0,0,0,0,0,0,0
MUK-20BP,51.517,-144.65,-4225,0.04,8.38,0,0,0,0,0,0,0,0,38.38,0,0,0,0,61.62,0,0,0,0,0,0,0,0,0,0,0,0
MUK-27HG,52.533,-142.1,,0.06,8.611,0,0,0,0,0,0,0,0,50,0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
NEL-394D,-63.217,147.75,-1149,0,-0.721,0,0,0,0,0,0,0,0,0.99,0,0,0,0.99,98.02,0,0,0,0,0,0,0,0,0,0,0,0
NZO-A106,-36.033,176,,0,17.691,1.05,0,0,0,0,0,0,0,34.74,1.05,0,0,7.37,7.37,0,9.47,0,0,0,25.26,0,3.16,1.05,1.05,1.05,7.37
NZO-A181,-33.883,173.833,,0,18.597,2.25,1.12,0,1.12,0,1.12,2.25,2.25,26.97,5.62,0,1.12,3.37,1.12,0,4.49,0,0,0,26.97,0,4.49,2.25,4.49,1.12,7.87
NZO-A315,-39.767,167.75,,0,16.094,2.02,0,0,0,0,0,1.01,10.1,13.13,14.14,1.01,0,4.04,8.08,0,3.03,0,0,0,20.2,0,12.12,1.01,2.02,3.03,5.05
PAP-127V,23.85,-112.82,,0.1,23.536,2.08,4.17,9.38,2.08,8.33,0,0,3.13,8.33,0,0,0,2.08,0,21.88,28.13,0,1.04,2.08,0,0,0,0,2.08,0,5.21
PAP-14,4.467,-81.6,,0,26.693,0,0,0,9.88,1.23,6.17,0,0,7.41,0,0,0,0,0,0,66.67,0,0,2.47,0,0,0,0,0,0,6.17
PAP-19,7.85,-88.183,,0,27.439,0,0,0,0,0,1.45,0,4.35,0,0,0,0,0,0,0,78.26,0,1.45,4.35,0,0,0,0,0,0,10.14
PLDS-001G,-3.415,-102.765,-3176,0,23.831,0,0,0.23,0,4.45,0.23,1.37,0.8,0.23,0,0,0,0,0,0,87.69,0.57,1.03,1.37,0,0,0,0.23,0,0,1.82
PROA-011P,6.133,136.183,-4600,0,29.184,0,0,0,0,0,38.46,0,0,0,0,0,0,0,0,0,46.15,0,0,15.38,0,0,0,0,0,0,0
PROA-079PG,-4.85,174.017,-4895,0,29.18,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,15.52,0,0,77.59,0,0,0,0,0,0,0
PROA-083PG,-2.067,172.483,-4950,0,28.851,0,1.19,0,0,0,1.19,4.76,3.57,0,0,0,0,0,0,0,8.33,1.19,0,76.19,0,0,0,1.19,0,0,2.38
PROA-084PG,-2.1,171.4,-3985,0.02,28.872,0,0,14.29,0,9.89,0,8.79,7.69,0,0,0,1.1,0,0,0,10.99,1.1,0,24.18,0,0,0,0,0,0,21.98
PROA-085PG-1,-2.267,170.3,-4205,0.03,28.887,0,1.11,6.67,0,11.11,1.11,6.67,4.44,0,0,0,0,0,0,0,6.67,0,0,55.56,0,0,0,0,0,0,6.67
PROA-086P,0.033,168.283,-4238,0.04,28.796,0,0,0,0,1.11,2.22,2.22,0,0,0,0,0,0,0,0,5.56,0,0,88.89,0,0,0,0,0,0,0
PROA-086PG,0.033,168.283,-4238,0,28.796,0,1.1,0,0,0,2.2,2.2,1.1,0,0,1.1,0,0,0,0,5.49,1.1,0,84.62,0,0,0,0,0,0,1.1
PROA-087PG,1.15,168.1,-4251,0,28.807,0,1.1,0,0,0,3.3,1.1,1.1,0,0,1.1,0,0,0,0,6.59,1.1,0,84.62,0,0,0,0,0,0,0
PROA-087PG,1.15,168.1,-4251,0.03,28.807,0,0,0,0,1.1,3.3,1.1,1.1,0,0,1.1,0,0,0,0,6.59,0,0,85.71,0,0,0,0,0,0,0
PROA-088PG,2.933,167.233,-4428,0,28.904,0,1.18,0,0,0,2.35,1.18,1.18,0,0,1.18,0,0,0,0,4.71,1.18,0,85.88,0,0,0,1.18,0,0,0
PROA-089PG,5.017,166.4,-4800,0,28.971,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,7.41,0,0,90.74,0,0,0,0,0,0,0
PROA-103PG,3.617,-179.3,-4972,0,28.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,90.91,0,0,0,0,0,0,0
PROA-118G,-4.067,-165.383,-4183,0.03,28.196,0,1.25,6.25,0,10,1.25,2.5,2.5,0,0,0,0,0,0,0,3.75,5,0,57.5,0,0,0,0,0,0,10
PROA-122G,-5.483,-166.1,-4127,0.02,28.402,0,2.35,16.47,0,15.29,1.18,5.88,2.35,0,0,1.18,0,0,0,0,2.35,3.53,0,34.12,0,0,0,0,0,0,15.29
PROA-124G1,-4.75,-165.383,-4165,0.03,28.196,0,2.7,10.81,0,9.46,0,5.41,8.11,0,0,0,0,0,0,0,1.35,5.41,0,43.24,0,0,0,0,0,0,13.51
PROA-146G,10.367,-166,-4773,0,27.456,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,60,0,0,20,0,0,0,0,0,0,4
PROA-147G,10.5,-165.55,-4341,0,27.447,2.44,4.88,0,0,0,4.88,2.44,2.44,0,0,2.44,0,0,0,0,41.46,9.76,2.44,21.95,0,0,0,2.44,0,0,2.44
PROA-149G,10.017,-164.983,-3170,0.03,27.186,2.27,6.82,14.77,0,27.27,1.14,7.95,3.41,0,0,0,1.14,0,0,0,1.14,3.41,1.14,10.23,0,0,0,0,0,0,19.32
PROA-151G,8.567,-168.867,-4397,0,27.821,0,6.67,0,0,0,1.67,8.33,1.67,0,0,1.67,0,0,0,0,15,6.67,1.67,56.67,0,0,0,0,0,0,0
PROA-155G,10.167,-171.183,-3188,0.02,27.456,0,9.33,16,0,36,1.33,8,1.33,0,0,0,0,0,0,0,5.33,4,1.33,12,0,0,0,0,0,0,5.33
PROA-156G,10.383,-170.95,-4469,0,27.53,0,3.45,0,0,0,6.9,3.45,3.45,0,0,3.45,0,0,0,0,34.48,3.45,0,41.38,0,0,0,0,0,0,0
PROA-160G,11.517,-172.817,-4837,0,27.302,0,4.76,0,0,0,9.52,0,0,0,0,4.76,0,0,0,0,57.14,0,0,23.81,0,0,0,0,0,0,0
RC0-113,11.917,111.38,-3100,0,27.91,0.32,0.32,0,1.82,0,0,5.35,0.32,10.28,0.32,0.32,5.35,0,0,0,25.91,0.32,0,15.63,5.35,0,0.32,1.82,0,0.32,25.91
RC0-117,20.5,119.5,,0,27.284,0.43,0.43,0,0.43,0,0.43,6.06,0,13.96,0.43,0,0.43,0,0,0,34.52,0,0,12.55,0,0,0.43,0,0,0,29.87
RC0-121,18.5,115.5,,0,27.258,3.88,1.36,0,0.31,0,0.31,1.36,0,3.88,0.31,0,0,0,0,0,59.81,0,0,6.51,14.06,0,0.31,2.52,0,0.31,5.04
RC08-102,-1.417,-86.85,-2180,0.01,22.985,0.32,0,2.97,0,0.53,0,1.69,0.21,7.73,0.21,0.21,0.21,0,0.21,8.37,68.54,0.21,0.32,1.06,0.74,0,0,0,0,0.32,6.14
RC08-103,1.267,-85.17,-2937,0.01,24.574,0,0,0.86,0,1.29,0,0.86,0.43,3.22,0,0,0,0,0,0.21,84.1,0,0.86,0.86,0,0,0,0,0,0.21,7.09
RC08-16,-23.35,-16.53,-4440,0,23.184,0.31,0.63,52.92,0.63,11.15,0.63,4.48,0.94,0.63,0.94,1.25,0,0,0,0,0.31,0,0,0,10.21,2.19,3.85,0.63,0,0.31,8.02
RC08-18,-24.07,-15.12,-3977,0,23.002,2.73,0.74,42.38,4.63,5.36,0,6.73,1.58,1.37,3.68,2.1,2.1,0.21,0,0,0.21,0,0,0,4.84,1.37,4.21,0.42,0.63,1.79,12.93
RC08-22,-24.97,-13.27,-2591,0,22.969,2.32,1.16,40.72,3.59,4.96,0.95,5.17,2,0,2.74,0.95,2,0,0,0.21,0.42,0,0,0,7.28,2.95,7.28,0.21,2.32,2.32,10.44
RC08-23,-25.15,-12.77,-3338,0.02,22.738,0.94,0.94,38.93,5.67,4.2,0,6.4,1.47,2.2,3.46,1.68,4.2,0,0,0,0,0,0,0,10.28,2.73,2.94,0.21,2.2,1.47,10.07
RC08-27,-26.23,-10.62,-3678,0.03,22.102,2.2,1.26,32.95,2.83,4.41,0.94,5.67,1.57,0,3.15,2.52,2.2,0,0,0,0.31,0,0,0,16.05,1.57,10.07,0,2.52,2.2,7.56
RC08-28,-26.58,-9.433,-4089,0,21.831,1.36,1.05,29.17,3.78,6.51,0.73,6.51,1.99,1.68,5.46,1.36,1.99,0,0,0,0,0,0,0.31,13.96,1.68,6.51,0,1.68,3.36,10.91
RC08-39,-42.88,42.35,-4330,0,10.811,0.31,0,0,0,0,0,0,0,47.2,1.04,0,0,4.24,2.17,8.9,11.39,0,0,0,13.46,4.97,0.31,0,0,0,6
RC08-40,-43.78,46.2,-2540,0,8.295,0,0,0,0,0,0,0,0,37.64,0.41,0,0,1.32,18.11,0.92,22.58,0,0,0,10.58,0.92,0,0,0,0,7.53
RC08-41,-43.63,51.267,-2897,0,8.672,0,0,0,0,0,0,0,0,31.6,0,0,0,0,42.2,0.3,0.5,0,0,0,22.8,0.5,0,0,0,0,2.1
RC08-46,-55.33,65.467,-2761,0,1.862,0,0,0,0,0,0,0,0,1.83,0,0,0,0,80.2,0.61,16.75,0,0,0,0,0,0,0,0,0,0.61
RC08-50,-44.77,92.417,-3219,0,9,0,0,0.3,0,0,0,0.3,0,38.2,0.5,0.3,0,3,6.5,6.2,14.9,0,0,0,15.7,3.5,0,0,0,0,10.6
RC08-53,-39.38,104.37,-4429,0,12.594,2.51,0,1.71,0,0,0,0.4,1.71,26.48,4.61,0,0,1.3,1.71,5.02,9.23,0,0,0,34,9.63,0,0,0,0.4,1.3
RC08-60,-36.75,120.9,-5351,0,16.834,0,0,5.48,0.42,0.74,0,0.42,0,11.8,3.69,0.74,1.48,2.63,2.21,12.86,10.01,0,0,0,12.54,2.95,0.74,0,0,4.43,26.87
RC08-61,-46.53,125.57,-4254,0,9.969,1.51,0,0,0,0,0,0,0,43.78,1.2,0.5,0,1.51,8.53,6.33,2.91,0,0,0,23.49,8.53,0.5,0,0,0,1.2
RC08-62,-49.33,127.12,-3875,0,7.659,0,0,0,0,0,0,0,0.7,40.12,2.21,0,0,5.52,7.32,4.01,12.04,0,0,0,13.84,4.41,0,0,0,0,9.83
RC08-63,-51.08,129.97,-3442,0,5.993,0,0,0,0,0,0,0,0.31,34.08,0.71,0,0,2.76,19.9,0,27.76,0,0,0,8.78,1.73,0,0,0,0.31,3.67
RC09-139,-47.77,123.1,-4158,0,9.104,0.5,0,0,0,0,0,0,0,61.01,0,0,0,0,6.63,3.12,0.3,0,0,0,20.8,6.13,0,0,0,0,1.51
RC09-14,27.383,-76.95,-1254,0,10.377,0,0,0,0,0,0,0,0.82,63.2,2.24,0,0,1.12,5.61,1.73,1.43,0,0,0,18.25,5.3,0,0,0.31,0,0
RC09-143,-41.37,114.13,-4396,0,11.979,0.41,0,0.92,0,0,0,0,0,50.66,0,0,0,0,0.41,3.05,1.32,0,0,0,34.59,5.6,0.41,0,0.92,0,1.73
RC09-155,7.4,72.8,-1765,0,28.707,0.11,0.64,28.14,4.19,8.16,0.11,2.15,2.15,17.51,0.64,0.21,3.22,0,0,0,9.88,0.75,2.58,2.9,0,0,0,0,0,0.64,16
RC09-160,12.05,63.15,-4268,0,28.088,0.73,2.68,27.56,0,13.17,0.73,1.1,1.1,9.88,0,0.73,0,0,0,0,14.39,0,0.73,14.76,0,0,0.73,0.37,0,0,11.34
RC09-161,19.567,59.6,-3332,0,26.21,0.31,0.31,16.17,1.76,0.73,0,1.04,1.76,31.71,6.22,0,0.73,0,0,0,5.49,0,0.73,1.04,0,0,0,0,0,0,32.02
RC09-161,19.567,59.6,-3332,0,26.21,0,0,10.71,1.99,1.66,0,0.99,0.66,36.09,9.71,0,0.33,0,0,0,9.05,0,0.33,0.99,0,0,0,0,0,0,27.48
RC09-162,19.083,60.417,-3092,0,26.348,0.33,0,10.5,0.33,3.31,0,0.99,0.99,23.31,4.31,0,1.66,0,0,0,8.84,0,0.99,0,0,0,0,0,0,0,44.42
RC09-163,17.883,58.083,-3005,0,26.367,0.33,0,6.44,1.31,0.33,0,2.07,0.98,36.68,8.73,0.33,2.73,1.31,0.33,0.66,3.38,0,0.66,0,0,0,0,0,0,0,33.73
RC09-212,44.2,-14.9,-5083,0,15.284,18.83,0,1.13,0,0.2,0,0.92,0,3.68,0.61,1.94,0,0.61,8.29,28.66,11.46,0,0,0,14.33,0.41,0.2,0.61,0.92,0.92,6.24
RC09-222,45.1,-10.57,-4903,0,14.79,18.27,0,0.62,0,0,0,2.17,0.31,7.74,0.62,1.24,0,0,1.24,26.01,13.93,0,0,0,19.2,0,0,0,0.31,0.62,7.74
RC09-225,54.983,-15.4,-2334,0,12.464,0,0,0,0,0,0,0.31,0,19.48,0.93,0,0,6.7,0.62,21.75,19.48,0,0,0,6.7,0,0.31,0,0,2.27,21.44
RC09-61,10.183,-77.22,-3191,0,28.568,1.42,1.86,45.78,0.22,24.21,0.88,4.38,1.31,0,0,0.66,0.44,0,0,0,11.28,0,0,1.42,0,0,0.44,0.66,0,0.22,4.82
RC09-67,0.817,-82.15,-3091,0.01,24.236,0.85,0,5.21,0,2.44,0,1.49,0,10.41,0,0,0.64,0,0,0,62.27,0.21,0.85,1.06,0,0,0,0,0,0.85,13.71
RC10-139,-3.033,156.43,-1781,0.01,29.547,0.2,3.51,39.86,1.71,8.33,0.1,5.02,6.43,0,0,0.2,4.32,0,0,0,3.21,0.3,0.1,6.02,0,0,0,0.1,0,0.1,20.48
RC10-140,-2.65,156.98,-1679,0.01,29.489,0.1,0.9,35.61,2.31,7.52,0.1,3.91,6.62,0,0,0,2.71,0,0,0,2.61,0.4,0,5.62,0,0,0,0,0,0,31.59
RC10-141,-1.133,156.3,-1904,0.01,29.438,0,0.91,34.91,0.7,0,0.1,4.12,5.63,0.3,0,0,4.23,0,0,0,0,0,0,6.44,0,0.1,0,0,0,0,42.56
RC10-142,-0.8,155.23,-2294,0.01,29.508,0,0.91,34.38,2.12,9.78,0.3,6.55,8.97,0,0.1,0.1,2.52,0,0,0,2.52,0.1,0.1,9.68,0,0,0,0,0,0,21.88
RC10-143,-0.333,153.98,-3074,0.01,29.666,0.32,3.67,28.37,0.32,0,0.32,15.32,13.05,0.54,0,0,3.67,0,0,0.32,0,0.32,0,10.46,0,0,0.32,0,0,0.32,22.65
RC10-146,1.267,149.2,-2468,0.01,29.594,0.1,3.97,26.72,1.67,12,0.21,5.64,2.71,5.01,0,0.1,1.88,0,0,0,4.7,0.42,0,10.96,0,0,0.42,0.42,0,0.21,22.86
RC10-161,33.083,158,-3587,0.01,21.332,1.8,0,0.6,0,0,0,0,0,3.7,0,0,0,0,0,15.3,0,0,0,0,71.8,0,3.7,0,0,0,3.1
RC10-162,31.417,158.8,-3913,0.01,22.488,0.71,0,0.51,0,0,0.41,0,0,0,0,0.1,0,0,0,4.16,0,0,0,0,92.39,0,1.52,0,0.2,0,0
RC10-172,32.133,154.63,-4387,0.01,21.89,0.3,0.1,1.01,0,0,0,0.5,0,1.11,0,0.3,0,0,0.3,16.58,0,0,0,0,78.09,0.1,1.61,0,0,0,0
RC10-175,34.583,159.17,-4014,0.01,20.811,0,0,1.2,0,0,0,0,0.1,7.09,0.8,0,0,1.7,1.8,32.67,0,0,0,0,50.75,0.1,0.3,0,0,0.4,3.1
RC10-176,34.783,160.67,-4226,0.02,20.825,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.65,5.72,0,0,0,75.63,0,0,1,0,0,0
RC10-22,21.3,-69.67,-3832,0,27.055,1.24,1.24,60.74,3.41,6.61,0,4.34,1.45,0,0.41,0,2.17,0,0,0,0.41,0,0,0,0.41,0.21,2.17,0.41,0,0.41,14.36
RC10-49,16.567,-79.53,-1238,0,27.758,2.36,0.34,49.77,0.56,23.87,0,2.36,1.8,0,0,0,2.93,0,0,0,4.39,0,0,0,0,0,0,0,0,0.56,11.04
RC10-52,3.867,-83.93,-2243,0.01,26.142,1.03,0.46,21.49,0,10.34,0,5.29,0,10.57,0,0,0.46,0.23,0,0,28.85,0,0,0.8,0,0,0,0,0,2.76,17.7
RC10-53,4.683,-87.82,-2774,0,26.662,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,94.37,0,0,1.41,0,0,0,0,0,0,2.82
RC10-54,4.517,-88.53,-2492,0.01,26.677,0.44,2.21,9.41,0,7.79,0.44,6.03,0.74,6.03,0,0.44,0,0,0,1.32,46.91,0,4.56,1.32,0,0,0,0.29,0,0,12.06
RC10-56,1.817,-91.25,-2082,0,24.171,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,77.91,0,0,0,0,0,0,0,0,0,15.12
RC10-56,1.817,-91.25,-2082,0.01,24.171,0.43,0.21,3.97,0,2.69,0,1.5,0,5.59,0,0,0.21,0.21,0,1.61,70.68,0,0.64,0.64,0.64,0,0,0,0,0.21,10.74
RC10-62,3.333,-101.7,-3120,0.01,25.782,0.86,0.49,9.54,0.49,5.62,0,1.71,0.86,9.05,0,0.49,0,0,0,7.33,48.41,0.49,0,4.28,1.71,0,0.49,0,0,0,8.19
RC10-64,1.817,-105.7,-3499,0,24.587,0,0,0,0,0,0,2.5,5,0,0,0,0,0,0,0,81.25,3.75,1.25,3.75,0,0,0,0,0,0,2.5
RC11-10,4.967,-45.97,-3834,0,27.372,0.52,0.52,59.85,0,27.01,0.31,3.44,1.04,0.52,0,0.31,0,0,0,0,0.83,0,0,1.56,0,0,0.31,0,0,0,3.75
RC11-103,-43.03,57.35,-4673,0,10.596,0,0,0,0,0,0,0,0,14.53,0,0,0,0.3,7.41,9.32,3.01,0,0,0,62.42,0.8,0,0.6,1.6,0,0
RC11-106,-34.33,54.217,-4212,0,18.553,1.1,0,0.8,0,0,0,0.8,0.3,3.01,0,0,0,0.8,1.1,11.12,5.21,0,0,0,70.64,1.1,0,0,1.6,0,2.4
RC11-11,2.217,-45.4,-3759,0,27.279,1.87,0.58,54.27,0.35,22.34,0.35,6.2,1.52,0,0.58,0,0.94,0,0,0,1.87,0,0,3.16,0,0,0,0,0,0.35,5.61
RC11-111,-22.4,57.633,-4365,0,24.607,0.76,3.48,52.56,0,9.03,0,4.57,3.48,0.54,0,2.5,0.22,0,0,0.22,4.24,0,0,0.76,11.1,0.22,3.26,0,0,0,3.05
RC11-116,-34.92,67.583,-4548,0,17.774,0.6,0.6,1,0,0.3,0,0.3,1,4.82,0,0,0,0,1.61,16.77,8.03,0,0,0,54.92,7.43,0.3,0,2.31,0,0
RC11-117,-36.48,69.55,-4367,0,16.037,0.4,0,2.31,0,0,0,0.8,0,11.67,0.8,0.8,0.4,1.11,1.51,29.38,14.29,0,0,0,27.46,6.04,0,0.4,2.62,0,0
RC11-12,0.917,-43.77,-4145,0,27.073,1.04,1.73,46.14,0,28.42,0,5.64,1.04,0,0,0,0,0,0,0,4.03,0,0,5.64,0,0,0,0,0,0,6.33
RC11-121,-39.72,82.25,-3426,0,12.724,0.4,0,0.8,0,0,0,1.31,0.4,28.44,3.32,0,0,0.8,0,12.56,3.32,0,0,0,23.92,10.45,0.8,0.4,0,1.31,11.76
RC11-122,-38.03,83.483,-3490,0,13.538,1.81,0,1.41,0,0,0,1.41,3.53,24.8,9.58,0.71,0.4,1.81,0,9.17,14.52,0,0,0,16.63,8.47,0.4,0,2.12,0,3.23
RC11-128,-28.07,95.967,-3926,0,20.294,2.98,2.06,25.49,0.31,2.67,0,5.04,1.34,6.06,1.64,2.36,0.31,0,1.34,1.03,0,0,0,0,25.49,8.43,7.71,0,2.36,0.72,2.67
RC11-13,1.683,-41.52,-4378,0,27.111,0.85,2.27,25.92,0,41.78,1.42,4.53,0.42,0,0,1.42,0,0,0,0,8.22,0,0,10.06,0,0,0,0.42,0,0,2.69
RC11-134,-33.07,110.55,-2345,0,18.106,0.6,0,13.48,0,0.6,0,0.3,3.22,8.95,9.26,0,0,0.3,0.6,3.22,2.62,0,0,0.3,39.13,8.65,1.01,0,2.62,0.3,4.83
RC11-138,-33.8,112.98,-3069,0,18.955,0.71,0,18.74,1.53,2.24,0,2.24,1.83,10.9,3.77,0,0.41,0,0,1.83,8.96,0,0,0,32.59,3.36,0.71,0,0.41,2.24,7.54
RC11-139,-33.8,112.98,-3157,0,18.955,2.04,1.02,8.16,0,3.06,0,3.06,2.04,14.29,2.04,0,0,0,2.04,0,2.04,0,0,0,41.84,13.27,0,0,1.02,1.02,3.06
RC11-14,-2.067,-40.6,-1639,0,27.131,0.33,0.22,53.5,0.22,17.07,0,5.8,0,0,0.55,0.22,4.16,0,0,0,3.61,0,0,0.33,0,0,0,0,0,0,14
RC11-141,-31.57,114.12,-4347,0,20.415,0,0,6.07,0,0,0,0.75,0.43,1.92,0,0,0,0.43,0,0.43,7.14,0,0,0,73.8,2.66,0.75,0,1.49,0.43,3.73
RC11-145,-25.48,110.02,-3869,0,22.417,0,2.73,24.2,0,6.29,0,1.19,2.73,2.37,1.54,1.19,0,0,0,0.83,18.39,0,0.36,1.54,23.84,1.19,0.36,0,1.54,0,9.73
RC11-146,-21.42,112.8,-2371,0,25.037,0.66,0.99,35.46,3.62,6.92,0,1.98,5.27,9.22,3.29,0,3.29,0,0,0,8.89,0,0,1.98,0.33,0,0.33,0.33,0,0.66,16.79
RC11-147,-19.07,112.75,-1953,0,26.013,4.81,4.81,31.69,1.76,17.37,0.59,5.4,4.23,4.23,0.59,0,0.59,0,0,0.59,10.21,0.59,0,5.4,1.17,0,0.59,0,0,0,5.4
RC11-15,-1.167,-36.95,-4446,0,27.113,0,1.22,34.39,0,32.44,0.73,3.89,0.36,0,0,0.36,0,0,0,0,4.98,0,0,10.45,0.36,0,0,0,0,0,10.81
RC11-16,-2.767,-35.22,-3835,0,27.136,0.23,0.23,55.42,0,29.87,0.23,3.19,0.46,0,0.23,0,0,0,0,0,1.71,0,0,2.51,0,0,0,0,0,0.23,5.7
RC11-160,26.8,142.9,-4025,0.02,25.284,0.72,0.72,22.5,0.21,2.99,0.31,0.93,0.31,4.02,0.21,0.31,0,0,0,0.31,18.78,0,0,2.79,36.22,0,4.95,0.31,0,0.21,3.2
RC11-162,33.2,139.03,-1763,0.01,22.334,0.2,1.42,8.42,0,2.23,0,0.3,0.3,17.14,3.65,0.1,0.41,0,0,10.04,14.91,0,0,1.01,18.05,0,0.91,0.41,0.1,0.2,20.18
