Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
A180-76,-0.767,-26.033,-3512,0,26.447,1.62,0.32,46.43,0.32,25.11,0,1.3,0.32,0,1.84,0.32,0.97,0,0,0.32,2.16,0,0,6.93,0,0,0.32,0.97,0,0.32,10.39
A180-78,-1.5,-27.017,-4261,0,26.524,0.4,0,21.14,0,30.65,0,4.1,1.19,0,0.4,0.4,0.4,0,0,0.79,14.93,0,0,17.44,0,0,3.3,1.19,0,0,3.7
A181-7,10.55,-57.317,-3766,0,27.673,1.87,1.25,57.74,0,18.9,0,5.19,1.45,0,0,0.62,0,0,0,0,6.75,0,0,0.83,0,0,0.42,0.83,0,0.21,3.95
A181-9,20.733,-59.2,-5215,0,26.69,0.32,10.67,57.63,0,15.9,0.53,3.42,0.32,0,0,0,0,0.32,0,0,5.55,0,0,0.32,0,2.13,2.35,0.53,0,0,0
A260210A,-29.133,-34.567,-2974,0,21.872,0.94,1.77,47.66,3.12,4.58,0,4.79,0,0.62,8.01,1.25,0.73,0,0,0.62,0.21,0,0,0,3.12,0.52,6.56,0,2.39,3.33,9.78
AH-1,12.833,119.35,-2030,0,28.383,0.46,5.77,0,0.46,0,0,23.33,3.93,13.63,0,0.46,0,0,0,0,23.33,0,0,13.63,0.46,0,0,0,0.46,0.46,13.63
AH-4,11.2,118.5,-1170,0,28.486,3.96,0.64,0,5.99,0,0.64,17.65,5.99,15.83,0,0.64,3.96,0,0,0,11.87,0,0,7.91,0,0,0.64,0,0.64,3.96,19.68
AH-5,10.333,117.97,-1152,0,28.577,2.4,0.68,0,4.79,0,0,20.89,0.68,16.44,0,0.68,2.4,0,0,0,16.44,0,0,6.85,0.68,0,0.68,0.68,0,4.79,20.89
AH-7,8.75,116.95,-914,0,28.813,0.64,0.64,0,4.06,0,0.64,15.92,1.92,21.9,0,0.64,4.06,0,0,0,17.84,0,0,5.98,0,0,0.64,0.64,0.64,1.92,21.9
AH-8,8.367,116.81,,0,28.813,0,0,0,4.79,0,0,6.42,0,40.04,0,0.76,4.79,0,0,0,17.63,0,0,8.81,0,0,0.76,0,0,2.39,13.6
All5402P,-6.16,-96.33,,0,23.774,0.57,0,2.04,0,0.79,0,0.23,0,2.27,0,0.23,0,0,0,0,80.29,0,0.57,0,7.93,0,0,1.02,0,0,4.08
All5423P,-2.24,-90.52,,0,22.525,0,0,1.66,0,1.04,0.31,0,0.31,8.61,0,0.31,0.31,0,0,0,84.23,0,0.31,0.31,0.62,0,0.31,0,0,0,1.66
All5424P,-2.45,-86.46,,0,22.404,0.45,0.22,7.93,0.67,1.01,0,0.34,1.34,19.78,0.78,0.22,1.12,0.34,0,0,50.17,0,1.01,0.45,1.68,0,0,0.22,0,0.78,11.51
All542P,-3.37,-87.21,,0,22.189,4.31,0,1.33,0,0.41,0,0,1.33,23.1,0,0.21,0,0.21,0,0.21,59.96,0,0,0,6.57,0,0,0.21,0,0.21,1.95
AMPH-005G,8.217,-127.483,-4520,0,26.955,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,64.29,0,0,21.43,0,0,0,0,0,0,0
AMPH-007PG,-0.5,-130.133,-4525,0,25.327,0,0,0,0,0,1.41,1.41,0,0,0,0,0,0,0,0,73.24,1.41,0,21.13,0,0,0,0,0,0,1.41
