Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
V34-157,AT-SAF,26.41,-41.95,3636,d18O,8,1
V22-109,AT-SAF,0.25,-41.97,733,14C bulk,7,0.5
TN057-20,AT,0.6,-42.1,1312,"14C, d18O",9,-0.5
RC15-94,AT-SAZ,-20.85,-42.98,3762,d18O ,9,1
V22-108,AT-SAZ,-3.25,-43.18333333,4171,d18O ,10.75,1
PS2082-1/3,AT-SAZ,11.73833333,-43.22,4661,d18O,10,1
PS2498-1,AT-SAZ,-14.23333333,-44.16666667,4610,n/a,8,1
RC15-93,AT-SAZ,-13.21666667,-46.1,2714,"14C, d18O",11,1
PS2499-5,AT-SAZ,-15.33333333,-46.51666667,3175,n/a,8,0.5
PS1754-1/2,AT-SAZ,7.611666667,-46.77,2476,d18O ,11,1
RC13-254,AT-PFZ,-5.566666667,-48.56666667,3636,"d18O, 14C",14,1
PS1756-5/6,AT-PFZ,6.713333333,-48.73166667,3803,"d18O,230Thex, LC",10,0.5
RC11-78,AT-PFZ,-9.86,-50.86,3115,LC,6,1
RC13-271,AT-PFZ,4.52,-51.98,3634,d18O ,9,0.5
RC11-77,AT-PFZ,-16.45,-53.05,4098,LC,6,1
PS1768-8/6,AT-AZ,4.466666667,-53.60666667,3298,"14C, d18O",10,99
RC13-259,AT-AZ,-4.933333333,-53.88333333,2677,d18O ,12,-1
RC11-76,AT-AZ,-22.13333333,-54.38333333,5229,n/a,8,-1
AII 107-22,AT-AZ,-3.333333333,-54.8,n/a,n/a,9,-1
PS1772-8/6,AT-AZ,1.163333333,-55.45833333,4136,"d18O, LC",11,-1
PS1575-1,AT-Antarctic Shelf,-43.33355,-62.83495,3461,LC,4,-1
PS1821-6,AT-Antarctic Shelf,37.46805,-67.05153333,4027,LC,3,-0.5
PS1506-1,AT-Antarctic Shelf,-5.834966667,-68.71816667,2426,LC,4,-1
PS2038-2,AT-Antarctic Shelf,6.285016667,-69.35298333,1630,LC,4,-1
PS1648-1,AT-Antarctic Shelf,-6.517466667,-69.734,2529,LC,4,-1
PS1375-3,AT-Antarctic Shelf,-17.1,-72.15,1750,LC,4,-1
2594,PA-NWP,169.8833333,56.93333333,1780,d18O,6,-1
ODP 887B,PA-NEP,-148.4463333,54.36516667,3647,"14C, d18O",9.5,-0.5
UMK3A,PA-NEP,-170.223,54.84066667,1892,"14C, d18O",7,99
RC10-196,PA-NWP,177.08,54.7,2612,"14C, d18O",8,99
MD02-2489,PA-NEP,-148.921,54.39,1243,"14C, d18O, LC",9,1
PAR87A-10,PA-NEP,-148.4666667,54.36666667,2393,"14C, d18O, LC",7,1
BOW-9A,PA-NWP,178.6763333,54.03716667,4402,"14C, d18O",6,99
MD01-2415,PA-NWP,149.9515,53.9515,2317,"14C, d18O, LC",9,-1
JPC17,PA-NWP,178.6988,53.933,1130,"14C, d18O",10,-1
Gc-11,PA-NWP,178.85,53.51666667,3300,d18O,6,1
RAMA 44PC,PA-NWP,164.65,53,1007,14C,5,99
